icd,pre_pct,post_pct,diff
U07,0.0,0.08011087669491544,0.08011087669491544
I50,0.04006714618107367,0.059641883975837195,0.019574737794763528
E11,0.027338166820527386,0.041560138388667456,0.01422197156814007
G30,0.020374247088211832,0.02990012235286622,0.009525875264654388
R99,0.0068855984371627545,0.014109783816019841,0.0072241853788570865
I11,0.01337438875108839,0.01977275949443751,0.006398370743349119
C34,0.03300640201146019,0.03782177483834097,0.0048153728268807774
I10,0.013937721806457202,0.018635679274911512,0.004697957468454311
I48,0.009147186999268192,0.013675283484569952,0.004528096485301759
J44,0.02286885333986394,0.026677241461714563,0.0038083881218506227
C25,0.020490235272569268,0.023738921545273368,0.0032486862727040995
F01,0.01019887202745147,0.012979477437264478,0.0027806054098130084
J12,0.0001449922760748213,0.002169225758854657,0.0020242334827798355
G20,0.0026876408216920783,0.004635480642167472,0.0019478398204753936
A41,0.012275018080603193,0.014117238918396493,0.0018422208377933003
A49,0.0006943428151549142,0.002365910351807817,0.0016715675366529028
N17,0.003698751370187331,0.005328259430132973,0.0016295080599456418
K70,0.0028476985121754666,0.0041322624179797604,0.0012845639058042938
R54,0.0006633640834107667,0.0018341544300914349,0.0011707903466806682
F03,0.0019515016108929283,0.002999399137332003,0.0010478975264390745
J18,0.021423184110910622,0.022458509746629832,0.00103532563571921
J45,0.0015778402319673855,0.00255204864804062,0.0009742084160732347
U10,0.0,0.0009236929643969529,0.0009236929643969529
K56,0.003015242009395564,0.0038255975893269185,0.0008103555799313543
E86,0.0014485668566499663,0.0022138439441020045,0.0007652770874520382
N39,0.0028403607093841106,0.003586060622303157,0.0007456999129190466
T78,6.299908490438865e-05,0.0007571006343462561,0.0006941015494418675
R98,0.0006638182106925782,0.001339128759706632,0.0006753105490140538
J10,0.0005843662023616846,0.0011871295701965086,0.000602763367834824
N19,0.0003503007646165465,0.0009158278147399831,0.0005655270501234366
I71,0.004309698172808582,0.004865065959308315,0.0005553677864997327
C80,0.010848837154525021,0.011375023645501808,0.0005261864909767867
A46,0.0003999924108463883,0.0008968261835167515,0.0004968337726703631
J69,0.0003563105877788921,0.000844116905378688,0.00048780631759979593
C83,0.002388425276885291,0.002864247474760089,0.000475822197874798
C21,0.0008217243224010707,0.001291882785315857,0.0004701584629147864
D38,0.0003845929980204123,0.0008254611935003511,0.00044086819547993884
R09,0.0006072102841436109,0.0010377663008766893,0.00043055601673307837
E66,0.0008214121347612909,0.0012084588768864325,0.00038704674212514166
C15,0.0016730866936810096,0.002052727555055878,0.00037964086137486823
G35,0.0009026285008348755,0.0012684783926388196,0.0003658498918039442
I38,0.00027555642324474973,0.0006348162288646552,0.00035925980561990543
C44,0.0009869510519736762,0.001341483725642528,0.0003545326736688517
C71,0.0049895671597150245,0.005322469559394808,0.00033290239967978356
I35,0.005107011473658158,0.0054212399802403026,0.0003142285065821449
D37,0.000647857228891694,0.0009603376310467086,0.00031248040215501466
N18,0.00507451450464865,0.005383874961413106,0.00030936045676445596
F10,0.00020258670410353577,0.000501689726264675,0.0002991030221611392
C82,0.0006007303344579656,0.0008980008239797085,0.0002972704895217429
I13,0.0022489688547446323,0.0025363894289094037,0.0002874205741647713
D48,0.0002961769313033285,0.0005781984052847879,0.00028202147398145936
E78,0.00035648033625326276,0.0006042853609753521,0.00024780502472208937
C92,0.003790905216275896,0.004037317210999449,0.0002464119947235533
K74,0.0036925377829214534,0.003938488540160206,0.0002459507572387526
E13,0.00032020478716750505,0.000561050615957021,0.00024084582878951591
C65,0.0008812297855507103,0.0011187908094333272,0.00023756102388261687
M46,0.000434931540169008,0.000669223652584461,0.00023429211241545302
C10,0.00019790652994880007,0.0004209905616804653,0.00022308403173166525
K76,0.0006847453598628655,0.0009066352217425439,0.00022188986187967837
T51,0.0002805365505750955,0.0004902004173250891,0.00020966386674999357
K72,0.0006631212949486249,0.00086728844679355,0.0002041671518449251
D47,0.0005649763056254138,0.0007651277480143702,0.0002001514423889564
D68,0.0005228191322356028,0.0007199387302751371,0.00019711959803953428
L03,0.0003760251077617597,0.0005640265333316752,0.0001880014255699155
G41,0.00045246079497562864,0.0006362636483162731,0.0001838028533406445
I49,0.0015029028486397416,0.0016817751227387837,0.00017887227409904213
C57,0.002233339233811146,0.0024106735947491843,0.00017733436093803805
C76,0.0017408631947961489,0.0019077578860562325,0.00016689469126008358
G31,0.0005760187642461792,0.0007371983646671759,0.00016117960042099668
D43,0.00022610169868643725,0.0003848822918743995,0.00015878059318796226
G21,0.00036525169727621846,0.000523039415395373,0.00015778771811915458
K92,0.0009956163785770525,0.0011503033942498971,0.00015468701567284467
J96,0.0011781547743014223,0.0013319680417778633,0.000153813267476441
C52,0.00039927009396467476,0.0005463319630081388,0.00014706186904346402
C09,0.0003549773792798453,0.0005005356611741844,0.0001455582818943391
C02,0.0004858071762270033,0.0006208772081737179,0.00013507003194671458
C43,0.0027818473416651016,0.002915137153719192,0.00013328981205409018
J16,0.0002291788863680437,0.0003578136192565683,0.00012863473288852458
J80,9.402233279644172e-05,0.00021359281592201436,0.00011957048312557264
I44,0.00021558465727763754,0.00033512835573852384,0.0001195436984608863
A81,3.811236494268781e-05,0.0001573556473374876,0.00011924328239479979
C48,0.0007649145806797361,0.0008838289520265957,0.00011891437134685964
E43,0.0011005647595442915,0.0012174493852145497,0.00011688462567025827
K63,0.0006394583767826282,0.0007541041415991354,0.00011464576481650724
M06,0.0003448298251973053,0.00045565141203491303,0.00011082158683760774
R26,0.0,0.00011038989711661589,0.00011038989711661589
R64,0.0002417343354268485,0.0003493607307905886,0.00010762639536374008
G40,0.0008555194213614125,0.000960630985407836,0.00010511156404642357
C45,0.000284882872104389,0.00038419392930825997,9.931105720387097e-05
S12,0.00021094875335097392,0.00030673326986697843,9.578451651600452e-05
K75,0.00024489507841312156,0.0003393999197740389,9.450484136091733e-05
J43,0.000801954016080365,0.0008950854097040062,9.313139362364116e-05
K50,0.0002797786705824193,0.00037100377428241413,9.122510369999483e-05
N10,0.0009946108447229454,0.0010792716863211097,8.466084159816428e-05
D86,0.00018099817858482917,0.00026488544120131325,8.388726261648408e-05
I33,0.0006003380617217082,0.0006841238148301987,8.378575310849046e-05
J39,5.430431252977456e-05,0.00013700305843048307,8.269874590070851e-05
A40,0.00020441950805366658,0.0002858093555341459,8.138984748047931e-05
C88,0.00023653307257964908,0.00031761529471184313,8.108222213219405e-05
J22,0.00021077516590196606,0.00028897819644449024,7.820303054252418e-05
T76,0.0,7.662052408438473e-05,7.662052408438473e-05
L97,4.881029219070916e-05,0.00012442018749935846,7.560989530864931e-05
C74,0.0001832956347587474,0.0002572327603657448,7.39371256069974e-05
M05,0.00045954142551765626,0.0005322205941539778,7.267916863632151e-05
E87,0.00048465156680989823,0.0005572139878530035,7.256242104310525e-05
C03,0.0001391273218523174,0.00021137595543283853,7.224863358052113e-05
G80,6.56770966630031e-05,0.00013792427225879812,7.224717559579503e-05
R57,0.00011259311126587986,0.00018285986336338933,7.026675209750947e-05
K44,0.00013478431992804138,0.00020401662895839744,6.923230903035606e-05
J84,0.0025918460208818163,0.002660668034838392,6.882201395657555e-05
E07,4.073680461673671e-05,0.00010848696636103388,6.775016174429718e-05
C17,0.0007498320897668285,0.0008173016593954987,6.74695696286702e-05
D69,0.00028299431984647164,0.0003493607307905886,6.636641094411695e-05
M32,0.00018650560293049468,0.00025278884816700613,6.628324523651145e-05
G23,8.125779320791711e-05,0.00014612373409013594,6.486594088221883e-05
C06,0.00019420240318160942,0.0002583263223572835,6.41239191756741e-05
J86,9.438958244594448e-05,0.00015700575893500058,6.26161764890561e-05
T43,0.0001715885269917811,0.0002328466507614405,6.125812376965939e-05
E83,0.00010283557575753972,0.00016200103269632465,5.9165456938784926e-05
D64,0.00030750283384127535,0.0003662151657572281,5.8712331915952774e-05
D41,0.0001729840119163663,0.00023010358464896176,5.711957273259546e-05
J06,9.935306956789787e-05,0.00015585169384451001,5.649862427661215e-05
K66,0.00015613244668890626,0.00021192273642860787,5.579028973970161e-05
D20,0.0,5.47240539579172e-05,5.47240539579172e-05
B01,0.0,5.47240539579172e-05,5.47240539579172e-05
E72,0.0,5.47240539579172e-05,5.47240539579172e-05
C13,0.00014086383911629977,0.00019520988303233842,5.434604391603865e-05
T42,0.00022465369889787418,0.00027845002905970486,5.379633016183068e-05
N15,0.0001641091744048045,0.00021648765482525033,5.2378480420445836e-05
S27,0.000251130624701664,0.0003033224165608266,5.2191791859162594e-05
G25,2.6830341084338845e-05,7.844237636854842e-05,5.1612035284209575e-05
D16,0.0,5.108034938958982e-05,5.108034938958982e-05
D70,0.0001085145117958045,0.0001578664696643638,4.935195786855929e-05
K38,0.0,4.9349251753853954e-05,4.9349251753853954e-05
K82,0.0001483645015705073,0.00019636394812282902,4.799944655232172e-05
D39,0.00020719550671356826,0.00025492463018476365,4.772912347119539e-05
J13,0.00017280497075354605,0.00021982884389881827,4.702387314527222e-05
L08,4.351562664818167e-05,9.030153757386403e-05,4.6785910925682365e-05
C32,0.00041547486611316013,0.0004622311062514092,4.6756240138249086e-05
C01,0.00016371611760983322,0.00020967510934657863,4.59589917367454e-05
M81,0.0,4.4155958846646355e-05,4.4155958846646355e-05
F20,0.0,4.4155958846646355e-05,4.4155958846646355e-05
G11,3.626553369109735e-05,8.026422865271211e-05,4.399869496161476e-05
I12,0.0015647719874869125,0.0016084650211351133,4.369303364820079e-05
D65,5.914954333114301e-05,0.00010234220807603529,4.319266474489228e-05
M31,0.00012895363698539988,0.00017203834161747653,4.3084704632076655e-05
C94,0.0006117861483051024,0.0006540187217387613,4.223257343365897e-05
B34,3.216648586884696e-05,7.416000960342267e-05,4.19935237345757e-05
M54,5.451182569797548e-05,9.613694669208482e-05,4.162512099410934e-05
C49,0.0008224546707920671,0.0008637657484231263,4.131107763105917e-05
C93,0.00018626873899259063,0.0002261551114806725,3.988637248808187e-05
E23,3.677358891499234e-05,7.662052408438473e-05,3.984693516939239e-05
A84,2.6862929004737678e-05,6.623393826996953e-05,3.937100926523185e-05
Q90,6.066293248175775e-05,9.997357479610226e-05,3.9310642314344516e-05
F11,0.0,3.922118818427421e-05,3.922118818427421e-05
C38,0.0005403436450975302,0.0005788570313448291,3.8513386247298904e-05
C05,0.00015143211469309075,0.0001896119057431092,3.817979105001843e-05
K35,0.00013700519381713077,0.00017489325279422706,3.788805897709629e-05
N32,4.647791757272508e-05,8.294679166623898e-05,3.64688740935139e-05
K21,9.01238572859293e-05,0.0001261210335856184,3.5997176299689096e-05
E03,0.000372486412697681,0.00040731412875780193,3.4827716060120944e-05
T38,0.00010102116800061714,0.00013530221234422314,3.4281044343605996e-05
B44,2.70345843874235e-05,6.038824146551554e-05,3.335365707809204e-05
S55,3.752711826940433e-05,7.059677199728989e-05,3.3069653727885564e-05
E24,2.7437423923707337e-05,6.0478996113943364e-05,3.3041572190236026e-05
C51,0.0017807110365017826,0.0018135352843585643,3.282424785678163e-05
C86,8.128079790482386e-05,0.00011293087855977254,3.1650080654948686e-05
T40,8.105845994250675e-05,0.00011255644572722685,3.14979857847201e-05
I72,0.00026328030777478473,0.0002943227470990775,3.104243932429277e-05
E06,4.7339893624836335e-05,7.795609847173096e-05,3.061620484689462e-05
C11,0.00010493065505598046,0.00013408764415478067,2.915698909880021e-05
C14,6.725428937097891e-05,9.58435923309574e-05,2.8589302959978495e-05
K62,9.970698230576429e-05,0.00012794288586978207,2.8235903564017786e-05
M65,2.6497085320614733e-05,5.47240539579172e-05,2.822696863730247e-05
J03,2.6615744701711245e-05,5.47240539579172e-05,2.8108309256205956e-05
D52,2.6761690953596737e-05,5.47240539579172e-05,2.7962363004320465e-05
A31,2.69631262754332e-05,5.47240539579172e-05,2.7760927682484e-05
C00,0.00010467352747174803,0.00013232629496956886,2.765276749782083e-05
T69,0.00012570953159268713,0.0001531897062034496,2.7480174610762455e-05
S37,2.7300381477997804e-05,5.47240539579172e-05,2.7423672479919398e-05
B67,0.0,2.73620269789586e-05,2.73620269789586e-05
E70,0.0,2.73620269789586e-05,2.73620269789586e-05
S60,0.0,2.73620269789586e-05,2.73620269789586e-05
S58,0.0,2.73620269789586e-05,2.73620269789586e-05
M24,0.0,2.73620269789586e-05,2.73620269789586e-05
G24,0.0,2.73620269789586e-05,2.73620269789586e-05
A43,0.0,2.73620269789586e-05,2.73620269789586e-05
N02,0.0,2.73620269789586e-05,2.73620269789586e-05
N31,0.0,2.73620269789586e-05,2.73620269789586e-05
J09,5.970266483298634e-05,8.701627103243194e-05,2.7313606199445602e-05
B37,8.68462564251744e-05,0.00011408494365026314,2.7238687225088738e-05
T44,4.037611749869583e-05,6.707407362686628e-05,2.669795612817045e-05
G50,0.0,2.6451100836876756e-05,2.6451100836876756e-05
D14,0.0,2.6451100836876756e-05,2.6451100836876756e-05
K45,7.272579492151774e-05,9.87590066066598e-05,2.6033211685142058e-05
G72,5.428041899879725e-05,8.026422865271211e-05,2.598380965391486e-05
S07,4.581974450785787e-05,7.151798582560496e-05,2.5698241317747086e-05
Q78,0.0,2.554017469479491e-05,2.554017469479491e-05
T97,0.0,2.554017469479491e-05,2.554017469479491e-05
L95,0.0,2.554017469479491e-05,2.554017469479491e-05
A35,0.0,2.554017469479491e-05,2.554017469479491e-05
H34,0.0,2.554017469479491e-05,2.554017469479491e-05
L93,0.0,2.4993393699025566e-05,2.4993393699025566e-05
I85,0.00018113291040828823,0.00020609190787720312,2.4958997468914893e-05
I00,0.0,2.472000320114089e-05,2.472000320114089e-05
T32,2.6497085320614733e-05,5.108034938958982e-05,2.458326406897509e-05
Q60,2.652027475004641e-05,5.108034938958982e-05,2.4560074639543412e-05
A85,4.1450201386102806e-05,6.567228902115097e-05,2.4222087635048164e-05
K46,5.757171168399598e-05,8.173222347679653e-05,2.416051179280055e-05
C04,0.00022330202620245154,0.00024731187707568064,2.40098508732291e-05
I78,3.453372208132312e-05,5.783697233612566e-05,2.3303250254802534e-05
I82,0.0005695443448879088,0.0005927355489368145,2.319120404890569e-05
D53,3.112613605685101e-05,5.381312781583536e-05,2.268699175898435e-05
G96,4.2277000355220866e-05,6.470544034693324e-05,2.242843999171238e-05
C66,0.00022198100634471244,0.0002442149535031226,2.223394715841019e-05
S40,0.0,2.2077979423323178e-05,2.2077979423323178e-05
R18,0.0,2.2077979423323178e-05,2.2077979423323178e-05
S78,0.0,2.2077979423323178e-05,2.2077979423323178e-05
T64,0.0,2.2077979423323178e-05,2.2077979423323178e-05
F60,0.0,2.2077979423323178e-05,2.2077979423323178e-05
B43,0.0,2.2077979423323178e-05,2.2077979423323178e-05
L72,0.0,2.2077979423323178e-05,2.2077979423323178e-05
Q20,0.0,2.2077979423323178e-05,2.2077979423323178e-05
M62,0.0,2.2077979423323178e-05,2.2077979423323178e-05
S64,0.0,2.2077979423323178e-05,2.2077979423323178e-05
G00,0.0001340871751007885,0.00015585169384451001,2.1764518743721525e-05
S30,2.7639839423932905e-05,4.93795033033299e-05,2.1739663879396992e-05
D76,3.2595839648331165e-05,5.381312781583536e-05,2.1217288167504192e-05
F17,2.6800527046234578e-05,4.761815411811809e-05,2.0817627071883515e-05
D61,0.00011025743520919594,0.00013085830014548448,2.060086493628854e-05
T46,0.00011599220042813601,0.0001364562774347137,2.0464077006577695e-05
G71,5.3708756620277704e-05,7.416000960342267e-05,2.0451252983144962e-05
N34,3.444712386087763e-05,5.47240539579172e-05,2.0276930097039575e-05
K90,3.44822517752976e-05,5.47240539579172e-05,2.0241802182619604e-05
I73,3.990144131064403e-05,5.965424405347334e-05,1.975280274282931e-05
I42,0.0021996836705928348,0.002219360842919815,1.967717232698044e-05
G98,5.0432240949168476e-05,6.998948790256866e-05,1.9557246953400183e-05
C67,0.004808968561627712,0.004827350366212998,1.8381804585286023e-05
T47,2.6473936409604743e-05,4.4155958846646355e-05,1.7682022437041612e-05
D60,2.6497085320614733e-05,4.4155958846646355e-05,1.7658873526031622e-05
A48,9.519652365550444e-05,0.00011261694882617873,1.742042517067428e-05
T12,2.704704906372901e-05,4.4155958846646355e-05,1.7108909782917347e-05
I83,0.0008413051438375251,0.0008580353506971589,1.6730206859633763e-05
C30,9.686998898627533e-05,0.00011322423292089996,1.635424393462463e-05
A39,3.5762809518031284e-05,5.199127553167167e-05,1.6228466013640384e-05
N00,5.025986967356222e-05,6.623393826996953e-05,1.5974068596407315e-05
F71,4.4678042332111776e-05,6.038824146551554e-05,1.5710199133403767e-05
F72,4.313450549520913e-05,5.8500178962982765e-05,1.5365673467773634e-05
T02,8.855799289368071e-05,0.00010265613780962912,1.4098144915948409e-05
Q24,3.6142431305278846e-05,4.998678739805113e-05,1.3844356092772285e-05
D50,0.00018888428028992083,0.00020164799567846446,1.2763715388543624e-05
S35,6.44868675574617e-05,7.674153028228849e-05,1.2254662724826794e-05
K40,0.00011344134355313592,0.00012557425258984903,1.2132909036713117e-05
S15,3.7575682455664306e-05,4.944000640228178e-05,1.1864323946617476e-05
K22,0.0002755732599278147,0.0002869634206246364,1.1390160696821692e-05
M33,5.36447344548119e-05,6.476136287906912e-05,1.1116628424257219e-05
F31,2.7311710529815414e-05,3.8401016690620186e-05,1.1089306160804772e-05
